id,input_action,hit_test_type,hit_test_value,on_click_operation,consume_input,raycast_enabled,action_id
splitter_left,select_object,panel_prefix,left_border,start_drag,true,false,left_border
splitter_right,select_object,panel_prefix,right_border,start_drag,true,false,right_border
scene_select,select_object,panel_prefix,_st_,select_object,true,false,
raycast_select,select_object,viewport,,raycast,true,true,
tab_item_toggle,select_object,panel_prefix,tab_item,toggle_tab,true,false,
tab_view_toggle,select_object,panel_prefix,tab_view,toggle_tab,true,false,
xyz_loc_edit,select_object,panel_prefix,item_loc_,edit_value,true,false,
xyz_rot_edit,select_object,panel_prefix,item_rot_,edit_value,true,false,
xyz_scale_edit,select_object,panel_prefix,item_scale_,edit_value,true,false,
menu_file_toggle,select_object,menu_file,,toggle_popup,true,false,
menu_edit_toggle,select_object,menu_edit,,toggle_popup,true,false,
menu_tools_toggle,select_object,menu_tools,,toggle_popup,true,false,
file_new_click,select_object,file_new_panel,,log_message,true,false,
file_open_click,select_object,file_open_panel,,log_message,true,false,
file_save_click,select_object,file_save_panel,,log_message,true,false,
edit_undo_click,select_object,edit_undo_panel,,log_message,true,false,
edit_redo_click,select_object,edit_redo_panel,,log_message,true,false,
tools_options_click,select_object,tools_options_panel,,log_message,true,false,
